Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,131.37570582631736,131.46425684514475,124.72426766262141,127.33171081542969,143301900,0.0,0.0
2021-01-05 00:00:00-05:00,126.82004233627089,129.6242777030026,126.3674232719225,128.90599060058594,97664900,0.0,0.0
2021-01-06 00:00:00-05:00,125.66883387901329,128.9453562946409,124.35035020885591,124.56681823730469,155088000,0.0,0.0
2021-01-07 00:00:00-05:00,126.29855944216816,129.5160479667689,125.80658936254203,128.81744384765625,109578200,0.0,0.0
2021-01-08 00:00:00-05:00,130.30317779313432,130.49997782043175,128.13851261647017,129.92929077148438,105158200,0.0,0.0
2021-01-11 00:00:00-05:00,127.11520332950752,128.07946026745964,126.43628236829001,126.9085693359375,100384500,0.0,0.0
2021-01-12 00:00:00-05:00,126.43630604865255,127.6071971994719,124.82264484437869,126.73149108886719,91951100,0.0,0.0
2021-01-13 00:00:00-05:00,126.69212088965998,129.33892214035455,126.42646787460659,128.7879180908203,88636800,0.0,0.0
2021-01-14 00:00:00-05:00,128.69938334749574,128.89616838808908,126.69213689772938,126.83973693847656,90221800,0.0,0.0
2021-01-15 00:00:00-05:00,126.71179797744222,128.1286740464908,124.96038589590539,125.09813690185547,111598500,0.0,0.0
2021-01-19 00:00:00-05:00,125.72786145595502,126.64293353192643,124.90135539708243,125.77706146240234,90757300,0.0,0.0
2021-01-20 00:00:00-05:00,126.59371881509394,130.36221066229743,126.48548481898038,129.9095916748047,104319500,0.0,0.0
2021-01-21 00:00:00-05:00,131.65117182134807,137.4268946773811,131.444537820299,134.67185974121094,120150900,0.0,0.0
2021-01-22 00:00:00-05:00,134.09136169934152,137.60403522200843,132.85160252214237,136.83656311035156,114459400,0.0,0.0
2021-01-25 00:00:00-05:00,140.77234064829307,142.75988916986424,134.3471969176129,140.62474060058594,157611700,0.0,0.0
2021-01-26 00:00:00-05:00,141.29379110811485,141.98254611074316,139.0995940811042,140.86085510253906,98390600,0.0,0.0
2021-01-27 00:00:00-05:00,141.12654252936898,141.98258075425957,138.15505379102953,139.77854919433594,140843800,0.0,0.0
2021-01-28 00:00:00-05:00,137.27933380994892,139.70966717938973,134.50461538281982,134.8883514404297,142621100,0.0,0.0
2021-01-29 00:00:00-05:00,133.64858745443254,134.5439765612556,128.11884881946486,129.8407440185547,177523800,0.0,0.0
2021-02-01 00:00:00-05:00,131.60201218314324,133.20583964068695,128.82729339257583,131.98574829101562,106239800,0.0,0.0
2021-02-02 00:00:00-05:00,133.55017325883716,134.12086026588082,132.44816525281252,132.8220672607422,83305400,0.0,0.0
2021-02-03 00:00:00-05:00,133.57973455084323,133.58958356299118,131.46426883488186,131.78897094726562,89880900,0.0,0.0
2021-02-04 00:00:00-05:00,134.11101131006245,135.19333619131774,132.42846747580705,135.18350219726562,84183100,0.0,0.0
2021-02-05 00:00:00-05:00,135.34612831150267,135.41509922266007,133.87786136063966,134.7647247314453,75693800,0.205,0.0
2021-02-08 00:00:00-05:00,134.04538584941508,134.96182541091767,132.9515796195917,134.9125518798828,71297200,0.0,0.0
2021-02-09 00:00:00-05:00,134.62679689293049,135.8684239231057,133.86804152579353,134.02569580078125,76774200,0.0,0.0
2021-02-10 00:00:00-05:00,134.4888123968988,134.99138134353518,132.43915688107967,133.4147186279297,73046600,0.0,0.0
2021-02-11 00:00:00-05:00,133.91724811499284,134.40010455467558,131.8183344889924,133.1584930419922,64280000,0.0,0.0
2021-02-12 00:00:00-05:00,132.38988132230318,133.55265827214197,131.73950690824012,133.39498901367188,60145100,0.0,0.0
2021-02-16 00:00:00-05:00,133.51325779423513,134.02566036577423,130.85263773939917,131.24681091308594,80576300,0.0,0.0
2021-02-17 00:00:00-05:00,129.3350978689708,130.29094703325774,127.58106879219359,128.9310760498047,97918500,0.0,0.0
2021-02-18 00:00:00-05:00,127.3150350809176,128.10336649736638,125.5511568812153,127.8176040649414,96856700,0.0,0.0
2021-02-19 00:00:00-05:00,128.33983938159804,128.80298341284856,126.92084618254685,127.97522735595703,87668800,0.0,0.0
2021-02-22 00:00:00-05:00,126.14239767550248,127.82745631298953,123.76756218608399,124.16172790527344,103916400,0.0,0.0
2021-02-23 00:00:00-05:00,121.95439002285727,124.86134761967558,116.66273360659773,124.02375030517578,158273000,0.0,0.0
2021-02-24 00:00:00-05:00,123.11717249137804,123.72812210155101,120.44671132429932,123.52118682861328,111039900,0.0,0.0
2021-02-25 00:00:00-05:00,122.86095896610205,124.61498813234859,118.78136084381869,119.22479248046875,148199500,0.0,0.0
